марка,модель,поколение,мощность,год,пробег,состояние,двери,кузов,топливо,трансмиссия,цвет,привод,руль,комплектация,цена
BMW,X5,E70,272,2007.0,235000.0,не битый,5.0,внедорожник,бензин,автомат,зелёный,полный,левый,Base,770000
BMW,3 серия,E90/E91/E92/E93,136,2009.0,132000.0,не битый,4.0,седан,бензин,автомат,фиолетовый,задний,левый,SE,450000
BMW,X5,E70,272,2008.0,215000.0,не битый,5.0,внедорожник,бензин,автомат,серый,полный,левый,Base,900000
BMW,X6,E71,381,2013.0,120000.0,не битый,5.0,внедорожник,дизель,автомат,белый,полный,левый,Base,1899999
BMW,5 серия,E39,170,1997.0,476000.0,не битый,4.0,седан,бензин,автомат,чёрный,задний,левый,Base,320000
BMW,5 серия,E60/E61,177,2009.0,330000.0,не битый,5.0,универсал,дизель,автомат,серый,задний,левый,Base,549900
BMW,X3,E83,150,2006.0,170000.0,битый,5.0,внедорожник,бензин,механика,чёрный,полный,левый,Base,230000
BMW,5 серия,E39,192,2002.0,250000.0,не битый,4.0,седан,бензин,автомат,чёрный,задний,левый,Base,350000
BMW,5 серия,E60/E61,177,2008.0,270000.0,не битый,4.0,седан,дизель,автомат,чёрный,задний,левый,Base,679000
BMW,5 серия,G30/G31,190,2017.0,153000.0,не битый,4.0,седан,дизель,автомат,чёрный,задний,левый,Executive,1650000
BMW,5 серия,E60/E61,272,2008.0,175000.0,не битый,4.0,седан,бензин,автомат,серый,задний,левый,Business,659000
BMW,X5,E70,272,2007.0,150200.0,не битый,5.0,внедорожник,бензин,автомат,серый,полный,левый,Base,749888
BMW,5 серия,E34,150,1993.0,300000.0,битый,4.0,седан,бензин,механика,серый,задний,левый,Base,30000
BMW,X3,E83,177,2008.0,205555.0,не битый,5.0,внедорожник,дизель,автомат,серый,полный,левый,Base,775000
BMW,X5,E53,231,2001.0,350000.0,не битый,5.0,внедорожник,бензин,автомат,серебряный,полный,левый,Base,400000
BMW,Z3,E36,140,1996.0,138000.0,не битый,2.0,кабриолет,бензин,автомат,голубой,задний,левый,Base,620000
BMW,X3,E83,192,2004.0,270000.0,не битый,5.0,внедорожник,бензин,автомат,серебряный,полный,левый,Base,475000
BMW,X3,E83,192,2006.0,224000.0,не битый,5.0,внедорожник,бензин,автомат,красный,полный,левый,Base,520000
BMW,5 серия,E60/E61,272,2007.0,170000.0,не битый,4.0,седан,бензин,автомат,серебряный,полный,левый,Business,549000
BMW,X1,E84,177,2010.0,199000.0,не битый,5.0,внедорожник,дизель,автомат,белый,полный,левый,Base,800000
BMW,5 серия,F10/F11,184,2012.0,155000.0,не битый,4.0,седан,бензин,автомат,серый,задний,левый,Base,950000
BMW,5 серия,E34,192,1995.0,275340.0,не битый,4.0,седан,бензин,автомат,зелёный,задний,левый,Base,310000
BMW,X6,F16,249,2015.0,144000.0,битый,5.0,внедорожник,дизель,автомат,чёрный,полный,левый,Luxe,1380000
BMW,6 серия,E63/E64,367,2008.0,96000.0,не битый,2.0,кабриолет,бензин,автомат,серый,задний,левый,Base,985000
BMW,X5,E70,272,2007.0,220000.0,не битый,5.0,внедорожник,бензин,автомат,чёрный,полный,левый,Base,800000
BMW,5 серия,E60/E61,258,2006.0,298000.0,не битый,4.0,седан,бензин,автомат,чёрный,полный,левый,Base,499777
BMW,3 серия,E90/E91/E92/E93,136,2011.0,148000.0,не битый,4.0,седан,бензин,автомат,синий,задний,левый,Base,630000
BMW,5 серия,F10/F11,204,2011.0,168000.0,не битый,4.0,седан,бензин,автомат,чёрный,задний,левый,SE,1000000
BMW,3 серия,F30/F31,184,2014.0,100000.0,не битый,4.0,седан,бензин,автомат,белый,полный,левый,Base,1195000
BMW,3 серия,E46,143,2002.0,400000.0,не битый,4.0,седан,бензин,механика,чёрный,задний,левый,Base,350000
BMW,5 серия,F10/F11,245,2013.0,82500.0,не битый,4.0,седан,бензин,автомат,чёрный,полный,левый,Sport,1599000
BMW,X5,F15,218,2015.0,79860.0,не битый,5.0,внедорожник,дизель,автомат,чёрный,полный,левый,Business,2390000
BMW,X3,F25,184,2012.0,80000.0,не битый,5.0,внедорожник,дизель,автомат,коричневый,полный,левый,Base,1450000
BMW,5 серия,E60/E61,218,2006.0,185000.0,не битый,4.0,седан,бензин,автомат,серебряный,задний,левый,Base,540000
BMW,3 серия,F30/F31,136,2014.0,127122.0,не битый,4.0,седан,бензин,автомат,серебряный,задний,левый,SE,947000
BMW,5 серия,E39,170,1997.0,400000.0,не битый,4.0,седан,бензин,автомат,серебряный,задний,левый,Base,145000
BMW,X1,E84,184,2012.0,82000.0,не битый,5.0,внедорожник,бензин,автомат,белый,полный,левый,Base,719888
BMW,X6,E71,245,2012.0,125000.0,не битый,5.0,внедорожник,дизель,автомат,белый,полный,левый,Base,1800000
BMW,5 серия,E39,170,1999.0,391000.0,не битый,4.0,седан,бензин,механика,чёрный,задний,левый,Base,270000
BMW,7 серия,E65/E66,306,2007.0,210000.0,не битый,4.0,седан,бензин,автомат,чёрный,задний,левый,Base,485000
BMW,X5,E53,231,2000.0,540000.0,не битый,5.0,внедорожник,бензин,автомат,чёрный,полный,левый,Base,449999
